code,AT scheme code original language,AT scheme code translated,AT Notes,BE scheme code original language,BE Notes,BG scheme code original language,BG scheme code translated,BG Notes,CY scheme code original language,CY Notes,CZ scheme code original language,CZ Notes,DE scheme code original language,DE scheme code translated,DE Notes,DK scheme code original language,DK Notes,EE scheme code original language ,EE scheme code translated,EE Notes,ES scheme code original language,ES Notes,FR scheme code original language,FR scheme code translated,FR Notes,GB scheme code original language,GB Notes,GR scheme code original language,GR scheme code translated,GR Notes,HR scheme code original language,HR scheme code translated,HR Notes,HU scheme code original language,HU scheme code translated,HU Notes,IE scheme code original language,IE Notes,LT scheme code original language,LT scheme code translated,LT Notes,LU scheme code original language,LU Notes,LV scheme code original language,LV scheme code translated,LV Notes,MT scheme code original language,MT Notes,NL scheme code original language,NL scheme code translated,NL Notes,PL scheme code original language,PL scheme code translated,PL Notes,PT scheme code original language,PT Notes,RO scheme code original language,RO scheme code translated,RO Notes,SE scheme code original language,SE Notes,SI scheme code original language,SI Notes,SK scheme code original language,SK Notes
II.4,,,,,,"EAGF DP - Схема за плащане за селскостопански практики, които са благоприятни за климата и околната среда - зелени директни плащания (ЗДП) - Схема за плащане за селскостопански практики, които са благоприятни за климата и околната среда - зелени директни плащания (ЗДП)",EAGF DP - Payment scheme for climate-friendly and environmentally friendly farming practices - Green Direct Payments (GDP) - Payment scheme for climate-friendly and environment-friendly agricultural practices - Green Direct Payments (GDP),Description corresponds,,,,,,,,"Payment for agricultural practices beneficial for climate-environment - Title III, chap 3",Same formulation and number corresponding,,,,,,,,,,,,,,,,,"Agrár-környezetgazdálkodás (EMGA (NVT), EU)","Agri-environmental management (EAGF, EU)                                                                                                                                                                                                                               ","Kim: Moved from IV/A.15 to II.4 Greening to most relevant measure in EAGF. Frida: Unsure, could also be measure V/B.2.4 on row 75 or measure V/B.2.6 on row 77",,,,,,,,,,"Kim removed ""Bioloģiskās daudzveidības uzturēšana zālājos"" here, moved to V/B.2.4 on advice of LV agency.",,,,,,,,,,,,,,"Guarantee Fund direct support: II.4, Payment for agricultural practices beneficial for climateenvironment - Title III, chap 3","Description and number correspond. KIM: Typo, original missing space",,,,
II.5,,,,,,,,,,,,,,,,"Payment for areas with natural constraints - Title III, chap 4",Same formulation and number corresponding,,,,,,,,,,,,,,,,,"Kedvezõtlen adottságú területek és környezetvédelmi megszorítások hatálya alatti területek (EMGA (NVT), EU)","Less-favoured areas and areas under environmental restrictions (EAGF, EU)","Kim: Moved from IV/A.17 to II.5, the only measure about natural constraints in EAGF. Frida: Could also be measure V/B.2.3 on row 74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,,,,,,EAFRD - ND - Подмярка 6.1-Стартова помощ за млади земеделски производители - Подмярка 6.1-Стартова помощ за млади земеделски производители,EAFRD - ND - Sub-measure 6.1 - Start-up support for young farmers - Sub-measure 6.1 - Start-up support for young farmers,"FRIDA: Classified II.6, ""Could also be measure IV/A.6 on row 34 or V/B.1.2. on row 55, but number corresponds here."" KIM: Left here, a better match already exists in IV/A.6, although this says EAFRD and is now matched as EAGF. ",,,,,,,,"Payment for young farmers - Title III, chap 5",Same formulation and number corresponding,,,,,,,,,,,,,,,,,,,"Kim moved ""EMVA Fiatal mezõgazdasági termelõk számára nyújtandó támogatás (EMVA, EU)"" to V/B.1.2 to match EAFRD classification",,,,,,,,Atbalsts jaunajiem lauksaimniekiem,Support for young farmers / ,"Kim: Confirmed correct placement with LV office. Frida: Placed here as only one that mentions support/payment for young farmers. Could also be measure  V/B.1.2. on row 55, that mentions establishment of young farmers. ",,,,,,,,,,,,,,"Guarantee Fund direct support: II.6, Payment for young farmers - Title III, chap 5",Description and numbers match,,,,
II.7,,,,,,EAGF DP - СПК - Схема за обвързано подпомагане за протеинови култури (СПК),EAGF DP - Scheme for coupled support for protein crops,Only one that mentions protein crops,,,CHM,Czech farm office placement,,,Kim deleted direct payments here and moved up to I.1,"Voluntary coupled support - Title IV, chap 1",Same formulation and number corresponding,Põllukultuuride kasvatamise täiendav otsetoetus,Additional direct aid for crop production,"Could be this one as it mentions additional aids, but unsure",,,,,,,,,,,,,,,,,,,Tiesioginės išmokos už pasėlius (EAGF),Direct payments for crops (EAGF),"FRIDA: Could be this one but unsure. KIM: Definitely Pillar I EAGF, did not move. ",,,,,,,,,,,,,,,,,,,"Guarantee Fund direct support: II.7, Voluntary coupled support - Title IV, chap 1",Description and numbers match,,,,
II.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.9,,,,II.9,Numbers corresponding,,,,,,,,,,,Small farmers scheme -Title V - decoupled payment,Same formulation and number corresponding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.10,,,,II.10,Number corresponds,,,,,,FKK,Czech farm office placement ,EGFL: Erstattung nicht genutzter Mittel der Krisenreserve,EAGF: reimbursement of unused funds from the Crisis Reserve / ,"DEU confirmed thi sis correct, also possible in other years",,,,,,II.10   Reimbursement of appropriations carried over from Financial Year 2014,Number and description corresponds,II.10 - Remboursement de la discipline financière,II.10 - Reimbursement of financial discipline /,Number and description corresponds,Reimbursement of financial discipline,Only one that mentions reimbursements + fin. Discipline,"ΙΙ.10 Επιστροφή των πιστώσεων που μεταφέρθηκαν από το οικονομικό έτος 2014, άρθρο 26 παράγραφος 5 (ΕΓΤΕ)","II.10 Repayment of appropriations carried over from the financial year 2014, Article 26 (5) (EAGF)",Number corresponds but description is kind of off as it mentions 2017 and the scheme code mentions 2014,,,,"Pénzügyi fegyelem visszatérítése (EMGA, EU)","Refund related to financial discipline (EAGF, EU)",Only one that mentions reimbursements + fin. Discipline,,,,,,II.10,Number corresponds,,,,II.10,Number corresponds,,,"KIM: removed ""A.09. Teruggave..."" here and matched with National after Dutch agency input. ",,,,II.10,Number corresponds,,,,,,,,II.10,Number corresponds
III.1,,,,III.1,Number corresponds,,,,,,,,EGFL: Öffentliche Intervention,EAGF: Public intervention / ,Only one that mentions public intervention,,,Piimakvoot,Milk quota,"FRIDA: Unsure. Long shot, only placed here  [I.1] as Hungary has a similar measure that Kata placed on this row. KIM: I expect this is EAGF, does not sound like single payment. Moved to III.3.",,,III.1 - Intervention publique,III.1 - Public intervention/,Number and description corresponds,,,,,,Intervencije u poljoprivredi,Interventions in agriculture / ,Could be this one,,,,,,Intervencinis produktų pirkimas (EAGF - other),Intervention product purchase (EAGF - other),Description corresponds,,,,,,,,,, ,,,,,,,,,,,,,,
III.2,Beihilfe für die private Lagerhaltung (1),Aid for private storage (1),"Description correspond, not number ",III.2,Number corresponds,EAGF - Частно складиране - Частно складиране,"EAGF - Private storage - Private storage ', / ",Only one that mentions private storage ,,,,,EGFL: Beihilfen für die private Lagerhaltung,EAGF: aid for private storage / ,"Same formulation, only one that mentions private storage",Aid for private storage,"Same formulation, only one that mentions private storage","Eraladustamine, sealiha (III.2)","Private storage, pork (III.2) /",Number and description corresponds,III.2   Aid for private storage,Number and description corresponds,III.2 - Aide au stockage privé,III.2 - Private storage aid /,Number and description corresponds,Aid for private storage,Only one that mentions private storage ,,,,,,,,,,Aid For Private Storage,"Same formulation, only one that mentions private storage",Privatus saugojimas (EAGF - other),Private Storage (EAGF - Other),Only one that mentions private storage,,,,,,,,III.02 Steun voor particuliere opslag,III.02 Aid for private storage / ,"Number and description corresponding, KIM: confirmed with Dutch agency",III.2 Dopłaty do prywatnego przygotowywania,III.2 Subsidies for private preparation,Number and description corresponds,,,,,,"Guarantee Fund other: III.2, Aid for private storage",Numbers and description correspond,,,,
III.3,Schulobstprogramm und Schulgemüseprogramm (3),School fruit program and school vegetable program (3),Description and number correspond,III.3,Number corresponds,"EAFRD - ND - Бяло саламурено сирене и кашкавал, попадащи под номенклатурен код по КН 0406 - Училищно мляко                                                                                                                                                                                                     ","EAFRD - ND - White brined cheese and cheese falling within CN code 0406 - School milk, /", only one that mentions school. KIM: Deleted leading and trailing space. ,III.3,Number corresponds,08120000,Czech farm office placement. Number not corresponding. ,EGFL: Schulmilchprogramm,EAGF: school milk program  /  ,Only one that mentions school,School milk scheme                                                                                                                                                                                                                                                                              ,Only one that mentions school,Koolipuuvili (III.3),School Fruit (III.3) / ,Number and description corresponds. ,III.3 School fruit and vegetable scheme,Number and description corresponds,III.3 - Aide fruits et légumes à l'école                                                                                                                                                     ,III.3 - Help fruit and vegetables at school /,Number and description corresponds. KIM: Separated previously combined French (original) + English (translated) text into two columns after flagged as non-match. ,School milk scheme,Only one that mentions school,III.4 Πρόγραμμα προώθησης της κατανάλωσης γάλακτος στα σχολεία (ΕΓΤΕ),III.4 School milk promotion program (EAGF),Description corresponds but numbers don't. Only one that mentions school. ,Program distribucije voća u školama - komunikacija,Fruit Distribution Program in Schools - Communication /,Only one that mentions school. Kim deleted trailing spaces. ,"Iskolagyümölcs program (EMGA, EU)","School Fruit Program (EAGF, EU)                                                                                                                                                                                                                                                                    ",Only one that mentions school,School Fruit & Veg Scheme,Only one that mentions school,Vaisių vartojimo skatinimas mokyklose - visuomenės informavimas (EAGF - other),Promoting Fruit in Schools - Public Information (EAGF - Other),Only one that mentions fruit and school,III.3,Number corresponds,Skolas auglis,School fruit / ,Only one that mentions school,III.3,Number corresponds,III.03. Schoolfruit,III.03. School fruit / ,Number and description corresponding. ,III.3 Program owoce i warzywa w szkole,III.3. Fruits and vegetables program at school,Number and description corresponds,III.3,Number corresponds,"Lapte pentru elevi - cat.I - R.1234/07, art.102 R.657/08, R. 1308/13, art.26","Milk for pupils - cat.I - R.1234 / 07, art.102 R.657 / 08, R. 1308/13, art.26",Only one that mentions milk and school. Numbers don't correspond. ,"Guarantee Fund other: III.4, School milk scheme",Only one that mentions milk and school. Numbers don't correspond. ,III.3 Shema šolskega sadja in zelenjave / School fruit and vegetable scheme &nbsp,Number and description corresponds. ,III.3,Number corresponds
III.4,Beihilfen im Sektor Obst und Gemüse (2),Aid in the fruit and vegetables sector (2),"Description correspond, not number ",III.4,Number corresponds,EAGF - Схема „Допълнителни временни извънредни мерки за подпомагане на пазара в сектора на зеленчуците и плодовете“ - Схема „Допълнителни временни извънредни мерки за подпомагане на пазара в сектора на зеленчуците и плодовете“,EAGF - Scheme 'Additional temporary exceptional market support measures in the vegetable and fruit sector' - Scheme 'Additional temporary exceptional market support measures in the fruit and vegetables sector' / ,Only one that mentions vegetables/fruit and not school. KIM: Deleted leading and trailing space. ,ΙΙΙ.4,Number corresponds ,08990000,Czech farm office placement. Number not corresponding. ,EGFL: Beihilfen im Obst- und Gemüsesektor,EAGF: aid in the fruit and vegetable sector / ,Only one that mentions vegetables/fruit and not school,Aid in fruit and vegetables sector,Only one that mentions vegetables/fruit and not school,Puu- ja köögiviljatagatis,Fruit and vegetable guarantee,Placed here as only one that mentions veg and fruit and not school. ,III.5   Aid in fruit and vegetables sector,"Number not corresponding but description does, only one that mentions fruit and veg and not school. ",III.5 - Aide dans le secteur des fruits et légumes,III.5 - Aid in the fruit and vegetable sector / ,"Number not corresponding but description does, only one that mentions fruit and veg and not school. ",Aid in fruit and vegetables sector,Only one that mentions vegetables/fruit and not school,III.5 Ενίσχυση στον τομέα των οπωροκηπευτικών (ΕΓΤΕ),III.5 Aid for fruit and vegetables (EAGF),"Number not corresponding but description does, only one that mentions fruit and veg and not school. ",Izvanredne mjere potpore - proizvođači koji nisu članovi proizvođačkih organizacija - povlačenje,Extraordinary support measures - producers who are not members of producer organizations - withdrawal,Kim added after non-match,,,,Aid For Fruit and Veg Sector,Only one that mentions vegetables/fruit and not school,Laikinoji papildoma parama vaisių ir daržovių augintojams (EAGF - other),Temporary additional support for fruit and vegetable growers (EAGF - other),Most likely this one as only one that mentions fruit and veg and not school,III.4,Number corresponds,Augļu ražotāju grupas,Fruit producer groups / ,Only one that mentions PO's and fruit,III.4,Number corresponds,III.05. Actiefondsen van de producentenorganisaties,III.05.Operational funds from producer organizations / ,"Number not corresponding, but only one that mentions operational funds + producer organisation/fruit and vegetables and not school. KIM: confirmed with Dutch agency",III.5 Program dla sektora owoców i warzyw,III.5 Program for the fruit and vegetable sector,"Number doesn't correspond, but decription does. Only one that mentions fruit & veg and not school",III.4,Number corresponds,,,"KIM: Moved from III.4 to III.6, previously ""Sprijin financiar acordat grupurilor de producatori din sectorul legume fructe - R.1234/07 art.103a(1)(a)art.103a(1)(b) R.302/12 art.2(2)"" was here. ","Guarantee Fund other: III.5, Aid in fruit and vegetables sector","Number not corresponding, but description is, only one that mentions fruit and not school. ",,,III.4,Number corresponds
III.5,Stützungsmaßnahmen im Weinsektor (4),Support measures in the wine sector (4),"Description correspond, not number ",III.5,Number corresponds,EAGF - Мярка „Преструктуриране и конверсия на лозя” - Мярка „Преструктуриране и конверсия на лозя”,"EAGF - Measure ""Restructuring and conversion of vineyards"" - Measure ""Restructuring and conversion of vineyards""  / ",Only one that mentions vineyards. KIM: Deleted trailing space. ,ΙΙΙ.5,Number corresponds for both,09080000,Czech farm office placement. Number not corresponding. ,EGFL: Stützungsmaßnahmen im Weinsektor,EAGF: support measures in the wine sector / ,Only one that mentions wine sector,,,,,,III.6   Support measures in the wine sector,"Number not corresponding but description does, only one that mentions wine",III.6 - Soutien au secteur vitivinicole,III.6 - Support to the wine sector / ,"Number not corresponding but description does, only one that mentions wine",,,III.6 Μέτρα στήριξης του αμπελοοινικού τομέα (ΕΓΤΕ),III.6 Support measures for the wine sector (EAGF),"Number not corresponding but description does, only one that mentions wine",Restrukturiranje i prenamjena vinograda,Restructuring and conversion of vineyards / ,Only one that mentions conversion of vineyards,"A szõlõfeldolgozás és a borkészítés során keletkezõ melléktermékek támogatással történõ lepárlásának támogatása (EMGA, EU)","Aid for the distillation of by-products of vine processing and winemaking (EAGF, EU) \ t                                                                                                                                                                                                                                                                                                  ",Only one that mentions wine sector,,,,,,,,,,,,,,,,,,,III.5,Number corresponds,"Restructurarea si reconversia podgoriilor - R.1308/13, art.46 R.555/08, art.10","Restructuring and conversion of vineyards - R.1308 / 13, art.46 R.555 / 08, art.10","Number doesn't correspond, but description does. Only one that mentions wine. ",,,III.6 Podporni ukrepi v vinskem sektorju   / Support measures in the wine sector  &nbsp,"Number not corresponding, but only one that mentions wine",III.5,Number corresponds
III.6,,,,,,,,,III.6,Number corresponds,,,,,,,,,,,,,III.11 - Aide aux opérateurs oléicoles,III.11 - Aid to olive growers /,"Number doesn't correspond, but only one that mentions olives! Could also be measure III.10 on row 28. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,III.6,Number corresponds,Sprijin financiar acordat grupurilor de producatori din sectorul legume fructe - R.1234/07 art.103a(1)(a)art.103a(1)(b) R.302/12 art.2(2),Financial support to producer groups in the fruit sector - R.1234 / 07 art.103a (1) (a) art.103a (1) (b) R.302 / 12 art.2 (2),"KIM: Chapter III measures are from legislation 1308/1203 which repealed 1234/2007 so this fits. 1234/2007 art 103 is ""aid to operator organizations"" for olive oil and table olives. Moved from III.4 to III.6. Frida: Number not corresponding, but description is, only one that mentions po's and fruit",,,,,III.6,Number corresponds
