translated_scheme,'DE148','DE94B','DEA28','DEA2D','DEB23',BE100,BE211,BE212,BE213,BE221,BE222,BE223,BE231,BE232,BE233,BE234,BE235,BE236,BE241,BE242,BE251,BE252,BE253,BE254,BE255,BE256,BE257,BE258,BE310,BE321,BE322,BE323,BE324,BE325,BE326,BE327,BE331,BE332,BE334,BE335,BE336,BE341,BE342,BE343,BE344,BE345,BE351,BE352,BE353,CH011,CY000,DK011,DK012,DK013,DK014,DK021,DK022,DK031,DK032,DK041,DK042,DK050,DKNaN,EENaN,FR101,FR211,FR223,FR232,FR251,FR253,FR301,FR411,FR412,FR414,FR632,FR633,IENaN,ITC4C,LU000,LUNaN,LVNaN,NL111,NL112,NL113,NL121,NL122,NL123,NL131,NL132,NL133,NL211,NL212,NL213,NL221,NL224,NL225,NL226,NL230,NL310,NL321,NL322,NL323,NL324,NL325,NL326,NL327,NL332,NL333,NL337,NL338,NL339,NL33A,NL341,NL342,NL411,NL412,NL413,NL414,NL421,NL422,NL423,NLNaN,RONaN,USnan
III.3,,,,,,119241.86004638672,117226.53005981445,35502.73001098633,82735.3299407959,64142.830017089844,40705.870040893555,47836.96006774902,50391.29995727539,31891.220092773438,14377.920013427734,56759.38005065918,26168.670043945312,38308.17004394531,69902.30014038086,92865.81004333496,35909.540115356445,3150.4000244140625,14569.310119628906,67088.79998016357,26714.620025634766,26618.3399810791,9025.839965820312,10493.690063476562,179864.58942222595,45439.93000793457,270322.4000091553,100270.67991399765,20135.919982910156,107846.14936447144,70535.2106628418,44848.259855270386,56137.880323410034,252636.6393108368,58105.95927429199,158922.21032714844,7957.039886474609,14167.590133666992,26918.1600189209,26490.530197143555,18887.23991394043,29984.79019165039,37113.06011199951,150359.2900300026,12927.430061340332,,48263.719886779785,101102.288832,196795.03322999997,317056.01907000004,22032.957642,28617.451854,201379.33608000004,715950.8650620003,143846.23470600005,137050.60098600003,1994166.3740700001,123201.37848000001,0.0,2409027.8443841934,,,,,,,,,,,,,1454577.6857299805,,,261904.03125,3582086.1662864685,,,,,,224.4699993133545,,,161.22999572753906,4375.0,,,382799.4804916382,98842.078125,,,,266198.45500183105,,,,590.989990234375,538.380012512207,217245.96875,654.0499877929688,,488.8299865722656,,77.56999969482422,192913.35122680664,936.6100158691406,,2910.02001953125,,796.760009765625,,2116.3099822998047,,,,6624.530075073242,16444449.329101562,
III.4,,,,,,59147.19873046875,105610.93850708008,11087.070068359375,45207.88005065918,,9103.9296875,,19949.190628051758,5410.240234375,,844.3300323486328,19097.630859375,9639.0703125,39670.45097351074,45915.55953979492,156599.79370117188,,,48608.71911621094,17386.440185546875,1339.8800048828125,,588.8800048828125,1117.1399841308594,3035.280029296875,,,2058.06005859375,,1131.56005859375,771.7000122070312,77.22000122070312,60111.11962890625,,20004.2998046875,,,17940.119140625,,,183.9600067138672,1984.6200256347656,4850.06005859375,,,215506.6182103157,3250850.8848,,,,,,1018751.8820760001,,,2433898.203264,,,395.0,,,,,,,,,,,,,508179.0625,,,18933.49951171875,3072175.498046875,,,,,,,,,,,,,,1078097.375,,,1001781.375,,,,,,,,,,1599444.34375,,,10447512.0,,,,,,1693097.375,1284253.5,2912697.4375,,868493.0,7581888.875,10406414.48015976,
III.5,1681198.5,,,,,,,,,12828223.75,720634.4375,505626.84375,,,,,,,,28812796.0,,271381.4375,,,,2849329.75,1783631.640625,,,,,,,,,,,,109393.0,,,,,,,,,32402.380859375,,,852706.7849121094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53687253.846084595,
III.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4123523.7400512695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642043.375,
III.7,,,,,,,,,,,,,,,,116210.0,,,,,,,,,,,,,116210.0,,,,,,,,,,,,,,,,,,,,,,90300.8106880188,,,,,,302094.89352599997,,12034.147104,,123813.06599999999,0.0,,151660.46875,,,,,,,,,,,,,32906.171875,,,16826.0,356819.4375,,,,,,,,,,,,,165130.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3443568.4735412598,
III.9,,,,,,,,,,,,,,,,,,,517.969970703125,,,,,,,,,,,,,,,,,,,,,,,,14287.2001953125,,,,,,,,,,,,,,,14644.147997999999,,,,,,,,,,,,,,,,,,,,,,,,,,11040.6201171875,150119.625,,370.5199890136719,,,,105.87999725341795,,,,,15634.3603515625,,,,,,,,,,,,,,,104.54000091552734,,,,,,62055.318359375,,,,,746289.83984375,61260.7109375,
IV/A.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4789182.0,,,,3673.1298828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.15,,,,1034.5,,112741.66906738281,3060.0,,150.0,100.0,,10702.0,700.0,,1737.199951171875,,3761.0,2407.2999877929688,12481.599975585938,14040.480072021484,,,470.0,6396.0,,,4985.0,,1215957.3207359314,701976.9183273315,679195.6534729004,1025545.6074066162,81440.50988769531,584218.282333374,1782376.4243927002,632626.2794952393,813317.6428489685,975110.2998962402,676005.8397827148,2029771.7299194336,1227915.3372955322,407261.04431152344,966209.9295043945,1693440.3965911865,1138730.4562911987,1705242.6511001587,2453745.470489502,1461015.224472046,1803330.77053833,,,,,,,,,,,,,,,,,1462.0,,,,2405.0,1438.5999755859375,,,,,,,,28103.27020263672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284.0,,,
IV/A.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.2600326538086,,,,,,,,,,,,,,,,,21496245.80007744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.0,,,,,,,,2829.0,,,,,,,,,,,,,,,,,,4479923.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.18,,,,,,1599.4200439453125,,,,,,,,,2346.0,,,,,2346.0,,,,,,,,,2016.6600341796875,,,,,,655337.7594680786,,115256.19995117188,279326.1598510742,1736.0,1148197.589996338,850270.100402832,296151.27014160156,1340445.740814209,869748.2193603516,1153924.8197937012,603388.8502807617,927026.2711486816,5190.6400146484375,528831.6805114746,,,,,,,,,,,,,,,1596.0800247192383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4214058.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4976668.2,,,,,,,,,,,,,,,,,,,,,,,,,366339.3062438965,,,,647057.3671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825074.450668335,1127790.6392593384,497971.62619781494,511583.0308303833,195506.0400390625,473545.7396850586,964184.3975219727,923549.138874054,768604.0624504089,617461.5551223755,600689.9606590271,1373889.7392616272,754591.4866081476,246777.93119812012,953387.7699949741,624049.5666046143,773803.9672775269,569503.5743312836,1275246.3784108162,984096.4190750122,875543.5400657654,,,,,,,,,,,,,,,1781671.4349365234,,1209.6199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136746.23965454102,144680.2301940918,106133.8984375,6098.2099609375,24168.949951171875,51186.00856399536,129745.4504699707,108610.97866821289,32448.209899902344,33379.4899597168,53213.18991088867,100651.83028793335,67797.3397064209,9952.699951171875,38359.73974609375,119018.95007324219,33940.24949645996,22389.649871826172,155257.76849365234,126681.69888305664,35828.71012496948,,,,,,,,,,,,,,,961160.734375,,,,,,1943.5400390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82172.23959350586,18391.77001953125,68870.10024905205,57547.19921875,,,10213.120361328125,26338.210083007812,,216057.84375,,,,,889.9500122070312,,165711.84375,586.5,39561.7802734375,,,,,,,435.5400085449219,,,,,,1563.1500244140625,227505.87655639648,,2889.14990234375,,,,,,1417461.5002441406,,
V/B.1.1,,,,,,,307073.634765625,37314.0,154533.03857421875,70945.4501953125,62722.921875,15131.4599609375,8058.0,9912.0,16404.0,137570.07055664062,38400.0,33402.08984375,10824.0,1172279.4702148438,36216.0,39264.0,65358.0,22431.22021484375,11748.0,1310393.9326171875,33330.0,9552.0,70931.1904296875,,,102659.2275390625,,,,,,,56801.08984375,,,,,,,,,480270.79296875,,,,1507689.1431419998,43786.229214000006,35132.59465200001,16540.111026000002,36443.02785000001,239461.44502800002,1052511.9357840002,315959.005794,126398.25062400001,7825528.5097320005,154185.36349800002,,636599.3133544922,,,,,,,1782.0,,,,,,46409.559998616576,,,76475.93969726562,183763.62341308594,216555.0,15053.0,19850.19921875,58448.0,43988.0,69786.0,48864.0,258355.0,27433.0,45800.0,196960.0,210125.0,365161.0,377285.0,238145.0,23269.0,687823.34375,1076813.931640625,411703.0,43414.0,,68074.0,,,7661.0,,269668.0,82050.0,1703596.875,207340.76171875,43542.0,17523.0,120210.0,294343.0,212125.0,555122.6875,243764.0,334503.0,28753.0,103759.0,70836.6015625,1183510.1171875,
V/B.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95872.701171875,,,,,,,,,,,,,8954234.868164062,,,,,,,,,,,,,,,,,9373695.317321777,1812762.91015625,,7079490.31640625,2395537.0,,2242279.98828125,2183086.125,76516.69921875,,2710653.4140625,115925.921875,,103508.1484375,,669102.421875,3280013.375,2730093.0,,,4156444.8125,,64579.0,,1227280.375,,,,,,,,,1166663.375,,527408.890625,103273.416015625,,,,,5584584.244140625,135545077.63646698,
V/B.1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26244921.35026449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258464.403174,,,,,34521.041274,,226898.107734,,947436.22677,68922.562026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.13,,,,,,,11401.479949951172,4651.80997467041,8037.279937744141,10500.739990234375,4326.8599853515625,4618.229935646057,4303.260009765625,718.260009765625,4324.6300048828125,12825.869934082031,4763.619964599609,2337.6599731445312,14082.399993896484,15382.82992553711,4763.779998779297,6702.290008544922,8633.08003616333,2368.77001953125,3458.050018310547,2208.3699951171875,2893.6600341796875,1000.0,10948.680053710938,,979.1499938964844,,,,652.780029296875,1765.4299926757812,6562.480041503906,10569.030029296875,9645.670043945312,9871.880096435547,647.8800048828125,,1751.6400146484375,4806.450042724609,1598.1900024414062,1598.1900024414062,5799.680038452148,11245.440063476562,1414.47998046875,,366553.05898571014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.3800048828125,678.5,2194.75,,857.8699951171875,1644.5,,1448.0,640.280029296875,2179.280029296875,,3207.0800170898438,5528.870071411133,2090.0999755859375,1379.75,633.0,7792.749969482422,3730.269989013672,836.75,1017.75,,,,169.6300048828125,181.0,362.0,,,746.75,,,876.5599975585938,1794.530029296875,169.6300048828125,693.969970703125,1034.4199981689453,836.9799652099609,2552.8899993896484,2349.530029296875,2172.0,,,
V/B.1.14,,,,,,,,,,,,,,,,,,,24052.071044921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352963.58984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.3999938964844,,,,,,,,,,,,,,,,,245541.65966796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76612856.33756256,
V/B.1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707270.1987304688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546709.9680948257,
V/B.1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906629.8203125,
V/B.1.2.,,,,,,,409892.58984375,30000.0,782887.0986328125,70000.0,145734.1103515625,181538.330078125,49415.0,70000.0,167301.87890625,329012.75,115732.18994140625,129397.46020507812,213527.7392578125,363207.22998046875,200000.009765625,404051.08984375,437561.64990234375,230000.009765625,85000.0,264556.41015625,159914.9307861328,165000.0,431695.80195617676,258166.29027557373,35031.11004161835,136454.87948608398,117514.5,117672.93995666504,189197.45947265625,276434.43060302734,79358.8309173584,110778.36039733887,179765.31925964355,227777.2003622055,261122.7205505371,84735.12023925781,234698.9624786377,218746.32217407227,306526.2368927002,73722.62037944794,535642.9975128174,226096.43048095703,234886.18292236328,,1989264.4699707031,,,,,,,,,,,,,4186543.6713867188,,,,,,,,,,,,,,,1983.0999755859373,2208341.348876953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35179540.36235284,
V/B.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110842.0095623136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3101795.9259490967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.4,,,,,,,67135.19909667969,8048.39990234375,125403.39868164062,17624.47998046875,54246.39892578125,35978.40002441406,12548.39990234375,8098.7999267578125,24785.999755859375,41011.59973144531,17249.989990234375,26596.7998046875,31745.999755859375,56251.439880371094,38537.99987792969,59783.98962402344,31519.18994140625,23250.0,19399.199951171875,17790.0,21189.599975585938,26487.599853515625,,,,,,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,391420.0401611328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134650.3602256775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.6,,,,,,,970557.1832809448,542756.6589241028,960365.0923995972,353309.8708496094,464615.929107666,548042.0794067383,151990.10995483398,166209.62042236328,226606.6996459961,550344.3120727539,184437.75885009766,416492.6212158203,514937.86654663086,511197.81036376953,295283.1809082031,502604.71154785156,576528.4073829651,199068.7394104004,94414.2492980957,319712.54705810547,531427.4705505371,299634.5712890625,772020.294883728,677923.7708969116,395686.6614265442,261121.94206237793,153681.56017303467,474238.10971069336,595650.9089660645,603061.8905410767,646995.0302886963,414203.3311371803,269442.69083213806,1149525.1942882538,565518.3810043335,205378.30172729492,802591.5850293636,441526.6905140877,659606.4894428253,346578.2597436905,1206593.8634405136,654997.5126876831,573564.744992733,,6023317.633880615,252015.66066600004,132137.24781000003,357006.18951000005,341355.708228,1037068.4356080003,4420850.152290003,6475053.924732002,12015941.083475994,8122934.872073999,8689686.834204001,8674057.949784005,14842.275732000002,18808900.449768066,,,,,,211.75,,,,,,,,,2800.800048828125,5214071.361022949,25113034.153152466,329316.4501953125,495450.080078125,697718.310546875,1126125.1064453125,110185.2900390625,330873.4599609375,564939.88671875,422773.2587890625,193075.0595703125,539951.2202148438,176459.01025390625,926794.6284179688,437871.3515625,475968.2529296875,729903.5288085938,294545.7998046875,1163523.6496582031,614123.009765625,594439.05078125,33805.0,10630.0,,,107325.0,87134.150390625,112375.0,41976.6796875,101110.5400390625,97396.75,377469.9375,14958.0400390625,339764.80908203125,491729.271484375,972275.828125,1504463.0776367188,1523211.9289550781,970798.58984375,615775.849609375,889698.4418945312,519437.2294921875,,12217460.818618774,
V/B.1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266783.8345241547,,,,,,,,,,,,,,,,,4511771.793552399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453867.39599609375,
