translated_scheme,BGNaN,CZNaN,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332,SENaN
IV/A.7,,,40256.46,905994.77184,,584492.5238399999,158490.0,158490.0,105660.0,105660.0,105660.0,24830.1,210263.4,7587.444600000001,,2570308.82784,422640.0,733201.57764,81374.36598,211320.0,361739.1609,165018.73140000002,55936.72098,765111.32028
IV/A.8,,,,,,,,,,,,,,,,14052.78,,,,,,,,
IV/A.9,,1093888.063160271,,,,,,,,,,,,,,,,,,,,,,
V/B.1.1,1013106.3036828613,258843.33243,1357230.91122,289526.25654,38223.66726,,20867.427359999998,,2895153.6299400004,2207.87136,7081.54452,,-2973.06108,175919.77926000004,-8520.31674,63741.71952,33007.86702,,,,3053631.0564,,2339.73504,18932.1588
V/B.1.10,,8449261.829370001,,,,,,,,,,,,,,,,,,,,,,
V/B.1.14,2850389.3720335932,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.15,464926.6647191184,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.2.,1396311.3472487223,261347.80293834404,,,,,,,,,-5142.4722,,,-26926.50006,-2961.6498,-27217.91034,,,,,,,,-59893.58232
V/B.1.3,,2196860.9897681675,,,,,,,,,,,,,,,,,,,,,,
V/B.1.4,,3292.4799000000003,,,,,,,,,,,,,,,,,,,,,,
V/B.1.6,27576920.280158624,23805842.43576374,465.53795999999994,,,,,,5119.33266,-3290.7807000000007,,,,,,-43327.9962,-792.87264,-385.02504,,,,-227.80296,,1164.0562200000004
V/B.1.7,186020.19532890627,646718.0865750003,,,,,,,,,,,,,,,,,,,,,,
V/B.1.8,3332195.9472798826,8154965.671875005,,,,,,,,,,,,,,-3208.47156,,,-254.42927999999998,,-1086.7131,,,-9997.866179999999
V/B.1.9,,5748423.3670500005,,,,,,,,,,,,,,,,,,,,,,
V/B.2.1,10670787.078773858,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.10,6647139.0362867955,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.12,8191171.7644398445,870294.6906300001,,,,,,,,,,,,,,,,,,,,,,
V/B.2.13,,303166.41498,,,,,,,,,,,-931.9212,,,,,,,,,-3372.667200000001,,
V/B.2.2,3171871.854583126,,,-1471.9494600000003,,,-391.04766,,-2792.17116,-1172.19204,-595.28844,,-4182.33978,-339.9082200000001,-404.99478,-15163.689240000003,-1155.70908,-1167.8599800000002,-4715.71146,-705.06918,-280.84427999999997,-6750.723059999999,-1842.3934199999999,-13936.76532
V/B.2.3,,322990.9559645691,,,,,,,,,,,,,,,,,,,,,,
V/B.2.4,,35420152.242201015,-2306.4521400000017,-51953.97294000001,-7620.410519999999,-35300.37204,-20650.08474,-7734.417659999999,-39214.018440000014,-28520.69814,-51508.299060000005,-27123.872939999997,-24708.802319999995,-184039.43327999997,-15535.61244,-248350.2375599999,-14350.529880000004,-3300.2901,-28575.747000000003,-36797.36292,-35441.639460000006,-33490.73322,-149896.98918,-94029.58115999999
V/B.2.6,,,178818.984,24012.08028,,-149.93153999999998,88626.5514,,,,,,,-3.1698,-5229.747360000001,8358.656939999999,16295.413500000002,,,,,28203.08418,,29368.51398
V/B.2.9,2064516.7092802732,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.1,1792817.6084503904,5896256.983689068,457178.1408,73391.64732,,-2211.78078,,,50432.36328000001,,,,,-31720.7169,,39225.32406,,,,,,,632.7977400000001,
V/B.3.2,593582.0050589844,7376080.774724294,57913.3026,317550.77531999996,,,,,78354.18054,,,,,,,101379.39641999999,,-1661.29218,,,,256992.48594,,-13099.51548
V/B.3.3,6426329.865585156,4394969.651992501,7432.758360000001,,,,,35690.8914,340218.54342,,,,,,,-19297.953719999998,,3484.0328400000008,107346.65058,,-501.67368,,,
V/B.3.4,205447558.52491167,215766.51695999998,,168576.62058000002,,,,,17389.73412,-48763.1466,,,,-205288.50456000003,,-16257.058920000001,,34282.33794,-8521.267679999999,-241668.7218,-286.97256,,-1505.23236,-53495.446679999994
V/B.3.5,29916557.319777858,597612.6594,1005.0379199999999,,,,,,,,,,,,,5905.65438,,,,,-1493.29278,,,
V/B.3.6,,143126.33175,,,,,,,,,,,,,,,,-12380.7105,,,,,,73962.0
V/B.3.7,,,-2011.55508,,,,,,80822.08116,,-5690.002320000001,7726.387500000002,,85938.45534000001,,-1540.62846,,,4613.32692,82.52046,,,7851.70026,4533.025320000001
V/B.4.1,161856.27370083617,146374.86753,-2240.3089800000002,-110.943,,,,,,-64.55826,,,,-111.36563999999998,,-195.36534,,-116.7543,-277.78014,,,,,
V/B.4.2,210978.37060791015,,-11689.588440000001,,,,,,,,,,,168851.65355999998,,-4049.5251599999997,,-2549.68146,-5166.774,,,,-3990.35556,
V/B.4.3,6421135.827655884,1175822.3622599996,-13271.846940000003,12667.577400000002,,,,,-964.0418399999999,-2453.74218,,,,40379.13126,-8051.60898,46214.41608,,2718.52614,,,,3949.25382,-2676.3678,
V/B.4.4,82404.1033991211,,,,,,,,,,,,,,,,,,,,,,,
V/B.4.5,1357507.4987873049,3802260.211289999,2265.8787,91984.4262,113074.26785999999,87879.11256000001,,7962.96024,,71959.42602,66053.56032,27774.8442,6387.4639799999995,142633.39248,5022.86508,214055.32608,75619.2771,-12409.97832,234661.56192,144284.01299999998,50208.78672,34907.9508,15457.424040000002,239474.37492000003
V/B.4.6,,1091270.3983200002,,,,,,,169020.18125999998,,,,,,,,,,,,,,,
VI/A.1,,1804879.7108915625,,,,,,,,,,,,,,,,,,,,,,
VI/B.1,919519.3355382812,,,,,,,,,,,,,,,,,,,,,,,
notTranslated:IV.1.1,,5186.9227500000015,,,,,,,,,,,,,,,,,,,,,,
notTranslated:OVOZEL_H,,0.0,,,,,,,,,,,,,,,,,,,,,,
